Configuration,Feature,Classifier,Accuracy,F1-Score
TF-IDF + NB,TF-IDF,NB,0.9466840052015605,0.9466399712247707
BoW + NB,BoW,NB,0.9375812743823146,0.9375986340875808
TF-IDF + SVM,TF-IDF,SVM,0.9362808842652796,0.9361489464778524
"N-gram(1,2) + NB","N-gram(1,2)",NB,0.9258777633289987,0.9259412382176058
TF-IDF + LR,TF-IDF,LR,0.9245773732119635,0.9243644515107005
BoW + LR,BoW,LR,0.9167750325097529,0.9165660029392835
TF-IDF Bigram + SVM,TF-IDF Bigram,SVM,0.9128738621586476,0.9126934574289002
BoW + SVM,BoW,SVM,0.893368010403121,0.892919211529184
"N-gram(1,2) + SVM","N-gram(1,2)",SVM,0.8777633289986996,0.8769428867876049
BoW Bigram + RandomForest,BoW Bigram,RandomForest,0.8296488946684005,0.825686277944087
TF-IDF Trigram + GradBoost,TF-IDF Trigram,GradBoost,0.694408322496749,0.66650758542563
